refcode,linker SMILES,metal,Largest Cavity Diameter,Pore Limiting Diameter,Largest Free Sphere
ERFORD01,OC=O,Er,2.0337,0.90044,1.92138
ERIQUS,OC(=O)c1ccc(cc1)C(=O)O,Pb,2.10276,0.7318,2.10183
ESIFET,CC1=N[C@H](C(=N1)C(=O)N)C(=O)N,Cd,8.81257,5.05152,8.69151
ESUMOU,OC(=O)COCC(=O)O,Mn,2.22654,1.65961,2.20169
ETEBOV,OC(=O)c1[nH]c(nc1C(=O)O)c1ccccc1,Sr,2.5435,1.45282,2.52799
ETEVEF,BrC1=C(Br)C(=O)C(=C(C1=O)Br)Br,Rb,2.14782,1.03954,1.71855
ETUFOQ,OS(CCn1cnnc1)(O)O,Ag,3.45695,2.22279,3.41111
ETUSUI,OC(=O)CCC(=O)O,Dy,2.91023,1.61305,2.89364
ETUWEW,OC(=O)C(=O)O,Sm,4.74528,4.39962,4.7381
EVAKIV,C1Cc2nnc3c4c2c(C1)nnc4CCC3,Cu,13.34989,4.00312,13.34989
EVINON,N1=CNN(C1)Cc1ccc(cc1)CN1NC=NC1,Fe,4.74984,2.48063,4.74984
EVUVEX,CN(CC(=O)O)C,Li,3.41487,2.12516,3.41487
EVUVIB,OC(=O)[C@@H]1CCCN1,Li,3.25769,1.30369,3.25769
EWAWEG,Nc1nnn[nH]1,Hg,1.33674,0.71077,1.33674
EWOBAV,c1ccc(cc1)c1[nH]nc(c1c1c([nH]nc1c1ccccc1)c1ccccc1)c1ccccc1,Cu,5.29702,3.06283,5.02906
EXUHUC,Oc1cccc(c1)C1=N[C@H](C(=N1)C(=O)O)C(=O)O,Mn,6.22118,4.0898,6.22118
EYUGEL,OC(=O)CCC(=O)O,Mn,1.60866,1.03461,1.60866
EYUKOZ,OC(=O)[C@@H](P(=O)(O)O)O,Mn,3.80535,2.14841,2.38229
EYULAM,n1ccc(cc1)c1ccncc1,Cd,9.60657,5.98069,9.60657
EYUZUU,[nH]1cnnc1,Zn,2.25889,1.63697,2.23553
EZABOX,Nc1ncn[nH]1,Cd,2.32009,1.72397,2.31727
EZOXEX,OC(=O)CCP(=O)(O)O,V,4.18966,2.6321,3.57412
FAFJAZ,N#CC(c1cc(Cl)c(cc1Cl)C(C#N)C#N)C#N,Cu,1.69,1.20575,1.68681
FAFMEE,O=C1C(=O)C(=O)C1=O,Ni,4.99893,0.98265,4.51312
FAFQEJ01,OC(=O)CC[C@@H](C(=O)O)N,Er,4.83481,3.58298,4.8333
FAGMEI,CC(c1cc2Sc3cc(cc(c3SCCn3cccn3)Sc3cc(cc(Sc4c(c(Sc(c1)c2SCCn1cccn1)cc(c4)C(C)(C)C)SCCn1cccn1)c3SCCn1cccn1)C(C)(C)C)C(C)(C)C)(C)C,Ag,4.74677,3.86448,4.45761
FAGTAJ,OC(=O)[C@@H]1CC[C@H](CC1)C(=O)O,La,3.13647,1.25732,2.37479
FAHBIC,OC=O,Dy,3.99775,2.8263,3.97551
FAHFUR,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Be,6.13487,5.74015,6.11176
